timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
55076000,0,-0.002127037,0.0014805509,-6.2846055e-05,0.0,0.0,0.0
55088000,0,-0.001574571,0.0017174463,-6.8469475e-05,0.0,0.0,0.0
55096000,0,-0.001470752,0.0016767131,-0.0001109905,0.0,0.0,0.0
55108000,0,-0.00095783215,0.0009407172,-0.00016838564,0.0,0.0,0.0
55116000,0,-0.0006574966,0.00025986222,-0.00021429817,0.0,0.0,0.0
55128000,0,-0.00043770904,-0.00060546456,-0.0002738434,0.0,0.0,0.0
55136000,0,-0.00031480868,-0.0012225043,-0.00023602645,0.0,0.0,0.0
55148000,0,-1.3469182e-05,-0.001449861,-0.00011890848,0.0,0.0,0.0
55156000,0,0.00034247595,-0.001714496,-4.5984205e-05,0.0,0.0,0.0
55168000,0,0.00051196024,-0.0031328665,-4.193191e-05,0.0,0.0,0.0
55176000,0,0.00032521927,-0.0042222273,-5.5908153e-05,0.0,0.0,0.0
55188000,0,0.00025580148,-0.0052520693,-4.0308107e-05,0.0,0.0,0.0
55196000,0,5.776887e-05,-0.005732058,-1.6828892e-05,0.0,0.0,0.0
55208000,0,8.3515595e-05,-0.006474395,-0.00013054755,0.0,0.0,0.0
55216000,0,0.0003747598,-0.0064600427,-0.00022129087,0.0,0.0,0.0
55228000,0,0.0011248514,-0.0063415924,-0.00033642686,0.0,0.0,0.0
55236000,0,0.0013077147,-0.006327704,-0.00042427325,0.0,0.0,0.0
55248000,0,0.0013332245,-0.0064512086,-0.00055446755,0.0,0.0,0.0
55256000,0,0.0014346653,-0.006489818,-0.0006629769,0.0,0.0,0.0
55268000,0,0.0015026559,-0.0061251563,-0.0008561498,0.0,0.0,0.0
55276000,0,0.0014376796,-0.005904063,-0.00093718397,0.0,0.0,0.0
55288000,0,0.001467091,-0.0053906697,-0.00094896444,0.0,0.0,0.0
55296000,0,0.001445639,-0.005103044,-0.0009470845,0.0,0.0,0.0
55308000,0,0.0012792379,-0.003883271,-0.0009666568,0.0,0.0,0.0
55316000,0,0.0015593864,-0.0028954076,-0.0009463212,0.0,0.0,0.0
55328000,0,0.0018314739,-0.0015965714,-0.00085506175,0.0,0.0,0.0
55336000,0,0.0022349907,-0.00091516104,-0.0008073007,0.0,0.0,0.0
55348000,0,0.0026649968,-0.0007871315,-0.0007633514,0.0,0.0,0.0
55356000,0,0.0022420418,-0.0008382419,-0.0008078664,0.0,0.0,0.0
55368000,0,0.0015896712,-0.0010793948,-0.00090289384,0.0,0.0,0.0
55376000,0,0.00142312,-0.0008481711,-0.00096435583,0.0,0.0,0.0
55388000,0,0.0007138515,-0.00067887985,-0.0010728333,0.0,0.0,0.0
55396000,0,0.00048085846,-0.00052601664,-0.0011693178,0.0,0.0,0.0
55408000,0,0.0007987508,-0.0003535747,-0.0013044098,0.0,0.0,0.0
55416000,0,0.0010300397,-9.974079e-06,-0.0013255771,0.0,0.0,0.0
55428000,0,0.0012252479,0.00085393223,-0.0012483436,0.0,0.0,0.0
55436000,0,0.0014151948,0.0012350901,-0.0012029898,0.0,0.0,0.0
55448000,0,0.0012425788,0.0013036754,-0.0012316854,0.0,0.0,0.0
55456000,0,0.0010210548,0.0012225758,-0.0012367158,0.0,0.0,0.0
55468000,0,0.0014073285,0.0013039467,-0.0012496209,0.0,0.0,0.0
55476000,0,0.0018161646,0.0012116309,-0.0012960198,0.0,0.0,0.0
55488000,0,0.0025512562,0.0011399841,-0.001392725,0.0,0.0,0.0
55496000,0,0.0031437655,0.0010710371,-0.0013935376,0.0,0.0,0.0
55508000,0,0.0040931366,0.00094474736,-0.0013198897,0.0,0.0,0.0
55516000,0,0.004485809,0.00095848145,-0.0013145859,0.0,0.0,0.0
55528000,0,0.004689647,0.0011823628,-0.0013605109,0.0,0.0,0.0
55536000,0,0.004885466,0.0015409482,-0.0013565159,0.0,0.0,0.0
55548000,0,0.0043641487,0.0017144538,-0.0013597955,0.0,0.0,0.0
55556000,0,0.0039830413,0.0019563225,-0.0013721649,0.0,0.0,0.0
55568000,0,0.0032988137,0.0022907974,-0.0013693665,0.0,0.0,0.0
55576000,0,0.0029735556,0.0026155058,-0.0013118255,0.0,0.0,0.0
55588000,0,0.0029073542,0.0025827023,-0.001270386,0.0,0.0,0.0
55596000,0,0.0025439896,0.0025119719,-0.0012498826,0.0,0.0,0.0
55608000,0,0.00212563,0.002272805,-0.0011729473,0.0,0.0,0.0
55616000,0,0.0016731728,0.0022081216,-0.0011399079,0.0,0.0,0.0
55628000,0,0.0010610338,0.0020560904,-0.0010946139,0.0,0.0,0.0
55636000,0,0.0010919223,0.0021831314,-0.0011199232,0.0,0.0,0.0
55648000,0,0.0010706084,0.002234836,-0.001188179,0.0,0.0,0.0
55656000,0,0.0012736861,0.002316033,-0.0012375555,0.0,0.0,0.0
55668000,0,0.0013120905,0.002856599,-0.0012831758,0.0,0.0,0.0
55676000,0,0.0010778197,0.0032059557,-0.001287855,0.0,0.0,0.0
55688000,0,0.0007768217,0.003018065,-0.001285561,0.0,0.0,0.0
55696000,0,0.0005245071,0.0028456824,-0.0012444084,0.0,0.0,0.0
