timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
41016000,40936000,-2.7876132,3.6216476,-2.5135465,-1.2575891,-0.00034271614,1.257351,2.5140321,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41024000,40944000,-2.7876027,3.621644,-2.5135436,-1.2575864,-0.00034001816,1.2573538,2.5140347,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41032000,40952000,-2.7876017,3.6216323,-2.5135653,-1.257608,-0.00036160395,1.2573321,2.5140133,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41040000,40960000,-2.7876217,3.62164,-2.5135732,-1.2576158,-0.00036942877,1.2573243,2.5140054,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41048000,40968000,-2.7876525,3.62166,-2.5135684,-1.257611,-0.00036460275,1.2573291,2.5140102,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41056000,40976000,-2.7876132,3.6216478,-2.5135517,-1.2575943,-0.0003479427,1.2573458,2.5140269,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41064000,40984000,-2.7876058,3.621653,-2.513536,-1.2575785,-0.00033214185,1.2573617,2.5140426,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41072000,40992000,-2.7875743,3.6216457,-2.5135195,-1.2575624,-0.0003159348,1.2573777,2.5140588,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41080000,41000000,-2.7875583,3.6216435,-2.5135086,-1.2575513,-0.00030492694,1.2573888,2.5140698,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41088000,41008000,-2.7875543,3.621644,-2.513505,-1.2575477,-0.00030137115,1.2573924,2.5140734,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41096000,41016000,-2.7875519,3.6216462,-2.5134993,-1.257542,-0.00029556264,1.2573981,2.5140793,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41104000,41024000,-2.7875857,3.6216512,-2.5135252,-1.2575679,-0.0003214859,1.2573723,2.5140533,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41112000,41032000,-2.7875848,3.6216435,-2.5135398,-1.2575824,-0.00033602578,1.2573577,2.5140388,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41120000,41040000,-2.7875974,3.6216521,-2.5135381,-1.2575808,-0.0003343503,1.2573594,2.5140405,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41128000,41048000,-2.7875733,3.6216412,-2.513535,-1.2575778,-0.00033144705,1.2573622,2.5140433,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41136000,41056000,-2.78761,3.6216528,-2.5135505,-1.2575933,-0.0003468468,1.2573469,2.514028,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
41144000,41064000,-2.7876132,3.6216407,-2.5135775,-1.2576203,-0.000373915,1.2573199,2.514001,0.015361764,0.029394036,0.044263735,0.039421454,0.021559002,-0.004119102,-0.0151946815,-0.0052717095,0.011936603,0.012648952,0.2004557,0.20001872,0.19955626,0.19970678,0.20026262,0
