timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
41168000,41168000,1310988,-0.20829555,0.18435353,-9.82341,11.827326,0,0,0,0,1
42168000,42168000,1310988,-0.14604631,0.20111294,-12.050017,11.826227,0,0,0,0,1
43168000,43168000,1310988,-0.19632454,0.18435353,-9.370906,11.820063,0,0,0,0,1
44168000,44168000,1310988,-0.22984336,0.16519992,-9.588778,11.816217,0,0,0,0,1
45168000,45168000,1310988,-0.20350714,0.15083471,-9.651027,11.814081,0,0,0,0,1
46168000,46168000,1310988,-0.18435353,0.12928689,-9.77792,11.8128605,0,0,0,0,1
47168000,47168000,1310988,-0.14844051,0.11731588,-9.782708,11.812128,0,0,0,0,1
48168000,48168000,1310988,-0.17956513,0.1412579,-9.730036,11.811731,0,0,0,0,1
49168000,49168000,1310988,-0.20350714,0.21068975,-9.801862,11.811609,0,0,0,0,1
50168000,50168000,1310988,-0.21308395,0.17477672,-9.864111,11.811518,0,0,0,0,1
51168000,51168000,1310988,-0.20590134,0.12928689,-9.7803135,11.811426,0,0,0,0,1
52168000,52168000,1310988,-0.20590134,0.107739076,-9.715671,11.811304,0,0,0,0,1
53168000,53168000,1310988,-0.21787235,0.14604631,-9.7803135,11.811396,0,0,0,0,1
54168000,54168000,1310988,-0.18435353,0.15562311,-9.749189,11.811396,0,0,0,0,1
55168000,55168000,1310988,-0.22984336,0.1340753,-9.77792,11.811396,0,0,0,0,1
56168000,56168000,1310988,-0.24899697,0.12689269,-9.7803135,11.811396,0,0,0,0,1
57168000,57168000,1310988,-0.24899697,0.1436521,-9.76116,11.811365,0,0,0,0,1
58168000,58168000,1310988,-0.20829555,0.1364695,-9.765948,11.811304,0,0,0,0,1
59168000,59168000,1310988,-0.20350714,0.088585466,-9.830592,11.811426,0,0,0,0,1
60168000,60168000,1310988,-0.21787235,0.090979666,-9.742006,11.811548,0,0,0,0,1
61168000,61168000,1310988,-0.20590134,0.10295067,-9.80665,11.811762,0,0,0,0,1
62168000,62168000,1310988,-0.18674773,0.11971009,-9.7803135,11.811853,0,0,0,0,1
63168000,63168000,1310988,-0.20590134,0.09816227,-9.7563715,11.811823,0,0,0,0,1
64168000,64168000,1310988,-0.22505496,0.095768064,-9.765948,11.811823,0,0,0,0,1
65168000,65168000,1310988,-0.24420857,0.14604631,-9.730036,11.811853,0,0,0,0,1
66168000,66168000,1310988,-0.20829555,0.11971009,-9.787497,11.811914,0,0,0,0,1
67168000,67168000,1310988,-0.18674773,0.10534488,-9.787497,11.812006,0,0,0,0,1
68168000,68168000,1310988,-0.14604631,0.09816227,-9.830592,11.812189,0,0,0,0,1
69168000,69168000,1310988,-0.16519992,0.12210429,-9.78989,11.812372,0,0,0,0,1
70168000,70168000,1310988,-0.22026655,0.11492168,-9.813833,11.812677,0,0,0,0,1
71168000,71168000,1310988,-0.16998832,0.08140286,-9.742006,11.812922,0,0,0,0,1
72168000,72168000,1310988,-0.20829555,0.076614454,-9.753978,11.813105,0,0,0,0,1
73168000,73168000,1310988,-0.15322891,0.07182605,-9.78989,11.813166,0,0,0,0,1
74168000,74168000,1310988,-0.20350714,0.079008654,-9.78989,11.813227,0,0,0,0,1
75168000,75168000,1310988,-0.17717093,0.093373865,-9.794679,11.813257,0,0,0,0,1
76168000,76168000,1310988,-0.16759412,0.06943185,-9.739613,11.813227,0,0,0,0,1
77168000,77168000,1310988,-0.18195933,0.093373865,-9.825804,11.813227,0,0,0,0,1
78168000,78168000,1310988,-0.17956513,0.107739076,-9.794679,11.813135,0,0,0,0,1
79168000,79168000,1310988,-0.1604115,0.09816227,-9.7803135,11.812922,0,0,0,0,1
80168000,80168000,1310988,-0.18914193,0.11971009,-9.765948,11.812738,0,0,0,0,1
81168000,81168000,1310988,-0.17956513,0.031124622,-9.739613,11.812616,0,0,0,0,1
82168000,82168000,1310988,-0.21787235,0.055066638,-9.797073,11.812464,0,0,0,0,1
83168000,83168000,1310988,-0.20350714,0.059855044,-9.768343,11.812372,0,0,0,0,1
84168000,84168000,1310988,-0.18674773,0.05746084,-9.799467,11.812311,0,0,0,0,1
85168000,85168000,1310988,-0.18435353,0.06464344,-9.782708,11.81222,0,0,0,0,1
86168000,86168000,1310988,-0.16759412,0.06943185,-9.765948,11.812159,0,0,0,0,1
87168000,87168000,1310988,-0.20350714,0.06943185,-9.763555,11.812098,0,0,0,0,1
88168000,88168000,1310988,-0.16519992,0.062249243,-9.730036,11.812006,0,0,0,0,1
89168000,89168000,1310988,-0.20111294,0.047884032,-9.677363,11.811945,0,0,0,0,1
90168000,90168000,1310988,-0.21308395,0.019153614,-9.753978,11.812006,0,0,0,0,1
91168000,91168000,1310988,-0.21787235,0.02873042,-9.7803135,11.812098,0,0,0,0,1
92168000,92168000,1310988,-0.23223756,0.021547815,-9.744401,11.81222,0,0,0,0,1
93168000,93168000,1310988,-0.22266077,0.033518825,-9.76116,11.812342,0,0,0,0,1
94168000,94168000,1310988,-0.18914193,0.021547815,-9.751583,11.812464,0,0,0,0,1
95168000,95168000,1310988,-0.20111294,0.047884032,-9.76116,11.812616,0,0,0,0,1
96168000,96168000,1310988,-0.21068975,0.045489833,-9.773131,11.8128605,0,0,0,0,1
97168000,97168000,1310988,-0.21787235,0.05746084,-9.775525,11.813044,0,0,0,0,1
98168000,98168000,1310988,-0.17717093,0.062249243,-9.7803135,11.813135,0,0,0,0,1
99168000,99168000,1310988,-0.18195933,0.08140286,-9.7803135,11.813135,0,0,0,0,1
100168000,100168000,1310988,-0.095768064,0.18435353,-9.828198,11.81698,0,0,0,0,1
101168000,101168000,1310988,-0.035913024,0.24420857,-9.832987,11.822138,0,0,0,0,1
102168000,102168000,1310988,-0.02873042,0.37110126,-9.782708,11.82696,0,0,0,0,1
103168000,103168000,1310988,-0.22984336,0.06703765,-9.775525,11.827326,0,0,0,0,1
104168000,104168000,1310988,-0.21308395,0.06943185,-9.749189,11.827326,0,0,0,0,1
105168000,105168000,1310988,-0.21547815,0.10295067,-9.746795,11.827326,0,0,0,0,1
106168000,106168000,1310988,-0.19871874,0.10534488,-9.782708,11.827326,0,0,0,0,1
