timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
14920000,0.0056856363,-0.0029893212,0.33429927,1.1182676e-05,4.471189e-06,0.6994883,0.0007029772,0.00028014183,-0.06398187,0.0,0.0,-4.0,1.6594023,0.0005596439
15120000,0.008208374,-0.0038577022,0.33296508,-4.3851895e-07,-5.5495384e-06,0.69948816,-2.7418137e-05,-0.0003478527,-0.06398873,0.0,0.0,-4.0,1.6596023,0.000935765
15320000,0.008845355,-0.003668547,0.33102864,3.0012047e-06,4.802247e-06,0.6994881,0.00018787384,0.00030088425,-0.06399223,0.0,0.0,-4.0,1.6596293,0.00033188192
15520000,0.0070904484,-0.003705687,0.3300406,-7.0274727e-06,-3.4856025e-06,0.6994882,-0.00044083595,-0.00021827221,-0.063985385,0.0,0.0,-4.0,1.6596093,-3.7596692e-07
15744000,0.0059393966,-0.0024337547,0.33160186,0.0,0.0,0.6988483,0.0,0.0,-0.095986426,0.0,0.0,-4.0,1.6594485,-0.00026580054
15920000,0.0039346484,-0.0022150362,0.3242952,-6.588161e-06,-1.947051e-06,0.6994882,-0.0004131794,-0.000121831894,-0.06398674,0.0,0.0,-4.0,1.6594284,-0.00015546681
16120000,0.0036314928,-0.0016201154,0.32171652,3.970507e-06,3.708314e-06,0.6994881,0.00024867058,0.0002322197,-0.06399207,0.0,0.0,-4.0,1.6594121,-0.0001684633
16344000,0.00272759,-0.001982272,0.32655603,0.0,0.0,0.69884866,0.0,0.0,-0.095972,0.0,0.0,-4.0,1.6592288,-0.0005434567
16544000,0.0018971128,-0.0014322104,0.32687107,-1.3470465e-06,0.0,0.6988482,-5.6147575e-05,0.0,-0.09599279,0.0,0.0,-4.0,1.6594408,0.00045812095
16720000,-0.0005483172,-0.0021992507,0.32344946,-6.8646154e-06,-4.0935633e-06,0.6994882,-0.00043058395,-0.00025641918,-0.06398558,0.0,0.0,-4.0,1.6594269,0.00021592244
16920000,-0.002926234,-0.002137797,0.32321006,-3.3370216e-07,3.3055117e-06,0.6994881,-2.0861626e-05,0.00020694733,-0.063994355,0.0,0.0,-4.0,1.6596553,0.0008186219
