timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
37608000,37490000,37528000,0,0.22717285,1.0,0.10392246,1.1071454,0.0003901882,0,1,0,1
38008000,37890000,37928000,0,0.21917725,1.0,0.112497866,1.1083593,0.00045673884,0,1,0,1
38408000,38286000,38328000,0,0.21417236,1.0,0.11548743,1.1093514,0.00048090608,0,1,0,1
38608000,38490000,38528000,0,0.21917725,1.0,0.10268852,1.1030581,0.00038238903,0,1,0,1
39008000,38886000,38928000,0,0.20617676,1.0,0.1105251,1.1048193,0.00044227313,0,1,0,1
39208000,39090000,39128000,0,0.21118164,1.0,0.09736624,1.0993837,0.00034492728,0,1,0,1
39608000,39486000,39528000,0,0.21417236,1.0,0.094695926,1.1016655,0.00032559133,0,1,0,1
39808000,39690000,39728000,0,0.21118164,1.0,0.09304187,1.0968102,0.0003157078,0,1,0,1
40208000,40086000,40128000,0,0.21118164,1.0,0.102181435,1.0994722,0.00037985665,0,1,0,1
40608000,40490000,40528000,0,0.21716309,1.0,0.110711545,1.1026698,0.0004446316,0,1,0,1
41008000,40890000,40928000,0,0.22418213,1.0,0.11150181,1.1047245,0.00045016306,0,1,0,1
41208000,41090000,41128000,0,0.22616577,1.0,0.09757581,1.0993737,0.00034641684,0,1,0,1
41608000,41490000,41528000,0,0.21817017,1.0,0.117889136,1.1018509,0.00050452736,0,1,0,1
42008000,41886000,41928000,0,0.18615723,1.0,0.13534337,1.1040173,0.00066367903,0,1,0,1
42208000,42090000,42128000,0,0.10015869,1.0,0.11863828,1.0987923,0.0005123822,0,1,0,1
42608000,42486000,42528000,0,-0.27282715,1.0,0.09970307,1.1013423,0.0003610395,0,1,0,1
43008000,42890000,42928000,0,-0.6798401,1.0,0.12804449,1.1035395,0.0005942838,0,1,0,1
43408000,43290000,43328000,0,-1.000824,1.0,0.14138293,1.1062949,0.0007227416,0,1,0,1
43808000,43690000,43728000,0,-1.2528381,1.0,0.14972293,1.1078252,0.0008094041,0,1,0,1
44208000,44090000,44128000,0,-1.4528198,1.0,0.1553216,1.109034,0.00087011943,0,1,0,1
44608000,44490000,44528000,0,-1.6168213,1.0,0.16816723,1.1109484,0.001018237,0,1,0,1
45008000,44890000,44928000,0,-1.7418213,1.0,0.17040646,1.1116313,0.0010448919,0,1,0,1
45408000,45290000,45328000,0,-1.8478394,1.0,0.18417609,1.1120939,0.0012200708,0,1,0,1
45808000,45690000,45728000,0,-1.9278259,1.0,0.1859678,1.1134112,0.0012424529,0,1,0,1
46208000,46086000,46128000,0,-1.9948425,1.0,0.18844283,1.1135437,0.0012755924,0,1,0,1
46608000,46490000,46528000,0,-2.05484,1.0,0.1943748,1.1135517,0.0013571552,0,1,0,1
47008000,46890000,46928000,0,-2.0898438,1.0,0.19350457,1.1145376,0.0013438405,0,1,0,1
47408000,47286000,47328000,0,-2.131836,1.0,0.20084369,1.1144139,0.0014478711,0,1,0,1
47808000,47690000,47728000,0,-2.1598206,1.0,0.19388771,1.1142215,0.0013495502,0,1,0,1
48208000,48086000,48128000,0,-2.1808472,1.0,0.19098139,1.1150457,0.0013084267,0,1,0,1
48408000,48290000,48328000,0,-2.1858215,1.0,0.17490888,1.1066842,0.0011057578,0,1,0,1
48808000,48690000,48728000,0,-2.1878357,1.0,0.16351771,1.1085875,0.0009647607,0,1,0,1
