timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
36804000,0,1691481536792323,0,473977421,85455934,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.02,3.9531708,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
38004000,0,1691481537984323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,0.01,3.8533378,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
39000000,0,1691481538984323,0,473977421,85455935,488114,488114,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.06,0.8948303,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
39804000,0,1691481539792323,0,473977421,85455934,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.8643064,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
41004000,0,1691481540984323,0,473977421,85455935,488096,488096,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.2443924,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
42000000,0,1691481541984323,0,473977421,85455934,488134,488134,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.04,0.0,-0.25,6.11895,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
43004000,0,1691481542984323,0,473977433,85455916,489000,489000,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.16,0.11,-0.11,-0.89,5.4974375,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
43804000,0,1691481543792323,0,473977438,85455913,489573,489573,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,0.06,0.01,-0.58,0.20717058,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
45004000,0,1691481544984323,0,473977439,85455925,490062,490062,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.099999994,-0.02,0.099999994,-0.29,1.808161,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
45804000,0,1691481545784323,0,473977435,85455934,490248,490248,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,-0.049999997,0.06,-0.17999999,2.3129103,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
47004000,0,1691481546992323,0,473977425,85455932,490410,490410,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,-0.099999994,-0.03,-0.04,3.4620352,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
47804000,0,1691481547792323,0,473977419,85455926,490480,490480,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,-0.06,-0.04,-0.089999996,3.7105699,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
48804000,0,1691481548792323,0,473977417,85455923,490508,490508,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.01,-0.01,-0.03,5.7669168,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
49804000,0,1691481549792323,0,473977420,85455923,490529,490529,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.04,0.0,-0.01,0.0975639,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
51004000,0,1691481550992323,0,473977425,85455926,490545,490545,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.03,0.03,0.02,0.8262389,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
52004000,0,1691481551992323,0,473977426,85455930,490578,490578,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.01,0.0,0.0,2.8255136,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
53004000,0,1691481552984323,0,473977425,85455931,490568,490568,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.02,0.01,0.02,2.6790805,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
54004000,0,1691481553992323,0,473977422,85455931,490557,490557,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.03,0.0,0.0,3.1457813,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
55004000,0,1691481554992323,0,473977421,85455931,490558,490558,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,-0.04,4.460189,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
