timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
61792000,61792000,1204000,47.397742099999995,8.5455934,0.008397594,0.0048140674,-2.0441082,0.000249556,0.007715364,0.2608209,0.001243705,-0.0062880847,0.0504312,0.004209145,0.01068239,0.028366301,0.01886324,0.0066131176,-0.03033361,-0.035969537,1.5709425,0.0070251385,488.3202,2.4904633,0.48619992,0.33759195,0.17880313,0.119673245,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
62296000,62296000,1204000,47.397742099999995,8.5455934,-0.009049886,0.0061709606,-2.0446556,0.000249556,0.007715364,0.2608209,0.003648743,-0.0061936504,0.040650465,-0.0056892284,0.01068239,0.028366301,0.01886324,0.065004766,0.015161174,-0.039903443,1.5708839,0.0070251385,488.3202,2.4910107,0.45883814,0.32118806,0.1665464,0.11460526,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
62792000,62792000,1204000,47.397742099999995,8.5455934,-0.022107692,0.008314422,-2.0458703,0.000249556,0.007715364,0.2608209,0.015441711,-0.004827091,0.04377276,-0.002556051,0.01068239,0.028366301,0.01886324,0.05643736,-0.010294839,0.06440374,1.5707704,0.0070251385,488.3202,2.4922254,0.47128814,0.32859853,0.17120226,0.116736,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
63296000,63296000,1204000,47.397742099999995,8.5455934,-0.031012347,0.012172191,-2.0461802,0.000249556,0.007715364,0.2608209,0.022946443,-0.005756664,0.04616764,0.00015987328,0.01068239,0.028366301,0.01886324,0.013462093,0.004613044,0.018407589,1.5708684,0.0070251385,488.3202,2.4925354,0.4848837,0.3366367,0.1761002,0.11896677,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
63792000,63792000,1204000,47.397742099999995,8.5455934,-0.04044537,0.012797872,-2.043664,0.000249556,0.007715364,0.2608209,0.03006309,-0.009850515,0.04659418,0.003304865,0.01068239,0.028366301,0.01886324,0.01766016,-0.024239793,0.015587545,1.570798,0.0070251385,488.3202,2.490019,0.49780834,0.34228325,0.1805615,0.1206115,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
64296000,64296000,1204000,47.397742099999995,8.5455934,-0.045657154,0.014121827,-2.0505946,0.000249556,0.007715364,0.2608209,0.037899327,-0.010737779,0.046526324,-0.0029217266,0.01068239,0.028366301,0.01886324,0.042729396,-0.040959362,0.012174248,1.5708557,0.0070251385,488.3202,2.4969497,0.46649817,0.32538342,0.16693476,0.11524659,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
64792000,64792000,1204000,47.397742099999995,8.5455934,-0.046841737,0.01495329,-2.0520647,0.000249556,0.007715364,0.2608209,0.042693354,-0.010258639,0.04755701,-0.0029859028,0.01068239,0.028366301,0.01886324,0.034829892,-0.020900419,0.010449438,1.5708923,0.0070251385,488.3202,2.4984198,0.47771314,0.3320243,0.171107,0.117153674,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
65296000,65296000,1204000,47.397742099999995,8.5455934,-0.04367141,0.012473345,-2.05163,0.000249556,0.007715364,0.2608209,0.04603369,-0.012845401,0.051768053,0.0022032538,0.01068239,0.028366301,0.01886324,-0.022541119,-0.008807314,0.009895301,1.5708747,0.0070251385,488.3202,2.4979851,0.4901369,0.33784282,0.17565121,0.11892816,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
65792000,65792000,1204000,47.397742099999995,8.5455934,-0.039250977,0.010637741,-2.045177,0.000249556,0.007715364,0.2608209,0.04765205,-0.012442543,0.048023064,0.004364684,0.01068239,0.028366301,0.01886324,0.010227434,-0.04989246,0.01172535,1.5706303,0.0070251385,488.3202,2.491532,0.501984,0.3444791,0.17990427,0.12078507,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
66296000,66296000,1204000,47.397742099999995,8.5455934,-0.026822113,0.00981802,-2.0452716,0.000249556,0.007715364,0.2608209,0.04370797,-0.012898788,0.041207593,-0.003169731,0.01068239,0.028366301,0.01886324,-0.010741001,0.012811185,0.0077281143,1.5707035,0.0070251385,488.3202,2.4916267,0.46930483,0.32684338,0.16631041,0.11533204,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0
