timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
52496000,52496000,0.7,5.3539634e-06,-0.14017834,1.0010706,0.0021809945,1.0,1
52600000,52600000,0.7,5.2912046e-06,-0.123682216,1.0010583,0.001697902,1.0,1
52696000,52696000,0.7,5.2349146e-06,-0.13575049,1.0010425,0.002045445,1.0,1
52792000,52792000,0.7,5.180119e-06,-0.123961434,1.0010328,0.0017056203,1.0,1
52896000,52896000,0.7,5.1220327e-06,-0.13269728,1.0010263,0.001954502,1.0,1
52992000,52992000,0.7,5.0694503e-06,-0.12247521,1.0010202,0.0016649876,1.0,1
53096000,53096000,0.7,5.0139074e-06,-0.10624069,1.0010054,0.0012528609,1.0,1
53200000,53200000,0.7,4.9599475e-06,-0.1323956,1.0009948,0.001945686,1.0,1
53296000,53296000,0.7,4.911225e-06,-0.1110398,1.0009879,0.0013686299,1.0,1
53392000,53392000,0.7,4.863494e-06,-0.05197095,1.0009807,0.00029981486,1.0,1
53496000,53496000,0.7,4.813169e-06,-0.08753086,1.0009637,0.00085047504,1.0,1
53592000,53592000,0.7,4.768104e-06,-0.11914334,1.0009533,0.0015757349,1.0,1
53696000,53696000,0.7,4.720332e-06,-0.15737742,1.0009472,0.0027493571,1.0,1
53792000,53792000,0.7,4.6770374e-06,-0.09994628,1.0009419,0.0011088733,1.0,1
53896000,53896000,0.7,4.631338e-06,-0.10602187,1.0009265,0.0012478036,1.0,1
53992000,53992000,0.7,4.590337e-06,-0.112053365,1.0009181,0.0013938266,1.0,1
54096000,54096000,0.7,4.547034e-06,-0.09970671,1.0009049,0.0011036044,1.0,1
54200000,54200000,0.7,4.504843e-06,-0.124359414,1.0008976,0.0017168217,1.0,1
54296000,54296000,0.7,4.466613e-06,-0.1546562,1.0008938,0.0026552423,1.0,1
54392000,54392000,0.7,4.428972e-06,-0.09402298,1.0008903,0.0009813842,1.0,1
54496000,54496000,0.7,4.3891305e-06,-0.088844165,1.0008775,0.00087626284,1.0,1
54600000,54600000,0.7,4.350369e-06,-0.11648023,1.0008689,0.0015062073,1.0,1
54696000,54696000,0.7,4.315287e-06,-0.1298908,1.0008646,0.001873005,1.0,1
54792000,54792000,0.7,4.2807724e-06,-0.13170695,1.0008608,0.0019257556,1.0,1
54896000,54896000,0.7,4.2441948e-06,-0.09063943,1.0008494,0.0009120593,1.0,1
54992000,54992000,0.7,4.211275e-06,-0.13690293,1.0008429,0.0020807362,1.0,1
55096000,55096000,0.7,4.176446e-06,-0.11499645,1.000831,0.0014681336,1.0,1
55192000,55192000,0.7,4.145122e-06,-0.1297518,1.0008245,0.0018690735,1.0,1
55296000,55296000,0.7,4.1117523e-06,-0.13734134,1.0008221,0.0020941277,1.0,1
55400000,55400000,0.7,4.078852e-06,-0.13717261,1.0008197,0.0020889903,1.0,1
