timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
12456000,4000000.0,1.0,56227.094,0.0,4855,0,547.8088,272,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13456000,4000000.0,1.0,25997.014,0.0,5289,0,533.86456,294,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14452000,4000000.0,1.0,25307.77,0.0,5725,0,533.86456,316,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15452000,4000000.0,1.0,25784.861,0.0,6160,0,533.86456,338,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16452000,4000000.0,1.0,25366.535,0.0,6610,0,533.86456,374,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17452000,4000000.0,1.0,25927.291,0.0,7045,0,750.99603,400,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18452000,4000000.0,1.0,25345.62,0.0,7483,0,596.6136,422,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19452000,4000000.0,1.0,25481.076,0.0,7917,0,534.8606,444,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20452000,4000000.0,1.0,25366.535,0.0,8354,0,559.761,466,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21452000,4000000.0,1.0,25512.95,0.0,8789,0,534.8606,488,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
