timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
15880000,0,1,0,1,0,1,1,0,1,1,1,1,0
16384000,0,1,0,1,0,1,1,0,1,1,1,1,0
16888000,0,1,0,1,0,1,1,0,1,1,1,1,0
17392000,0,1,0,1,0,1,1,0,1,1,1,1,0
17896000,0,1,0,1,0,1,1,0,1,1,1,1,0
18400000,0,1,0,1,0,1,1,0,1,1,1,1,0
18904000,0,1,0,1,0,1,1,0,1,1,1,1,0
19408000,0,1,0,1,0,1,1,0,1,1,1,1,0
19912000,0,1,0,1,0,1,1,0,1,1,1,1,0
20416000,0,1,0,1,0,1,1,0,1,1,1,1,0
20920000,0,1,0,1,0,1,1,0,1,1,1,1,0
21424000,0,1,0,1,0,1,1,0,1,1,1,1,0
21928000,0,1,0,1,0,1,1,0,1,1,1,1,0
22432000,0,1,0,1,0,1,1,0,1,1,1,1,0
22936000,0,1,0,1,0,1,1,0,1,1,1,1,0
23440000,0,1,0,1,0,1,1,0,1,1,1,1,0
23632000,0,1,0,1,0,1,1,0,1,1,1,1,0
24136000,0,1,0,1,0,1,1,0,1,1,1,1,0
24640000,0,1,0,1,0,1,1,0,1,1,1,1,0
25144000,0,1,0,1,0,1,1,0,1,1,1,1,0
25648000,0,1,0,1,0,1,1,0,1,1,1,1,0
26152000,0,1,0,1,0,1,1,0,1,1,1,1,0
26656000,0,1,0,1,0,1,1,0,1,1,1,1,0
27160000,0,1,0,1,0,1,1,0,1,1,1,1,0
27664000,0,1,0,1,0,1,1,0,1,1,1,1,0
28168000,0,1,0,1,0,1,1,0,1,1,1,1,0
28672000,0,1,0,1,0,1,1,0,1,1,1,1,0
29176000,0,1,0,1,0,1,1,0,1,1,1,1,0
29680000,0,1,0,1,0,1,1,0,1,1,1,1,0
30184000,0,1,0,1,0,1,1,0,1,1,1,1,0
30688000,0,1,0,1,0,1,1,0,1,1,1,1,0
31192000,0,1,0,1,0,1,1,0,1,1,1,1,0
31696000,0,1,0,1,0,1,1,0,1,1,1,1,0
32200000,0,1,0,1,0,1,1,0,1,1,1,1,0
32704000,0,1,0,1,0,1,1,0,1,1,1,1,0
33208000,0,1,0,1,0,1,1,0,1,1,1,1,0
33436000,0,1,0,1,0,1,1,0,1,1,1,1,0
33448000,0,1,0,0,1,1,1,1,1,1,1,1,0
33952000,0,1,0,0,1,1,1,1,1,1,1,1,0
34456000,0,1,0,0,1,1,1,1,1,1,1,1,0
34960000,0,1,0,0,1,1,1,1,1,1,1,1,0
35464000,0,1,0,0,1,1,1,1,1,1,1,1,0
35968000,0,1,0,0,1,1,1,1,1,1,1,1,0
36472000,0,1,0,0,1,1,1,1,1,1,1,1,0
36976000,0,1,0,0,1,1,1,1,1,1,1,1,0
37480000,0,1,0,0,1,1,1,1,1,1,1,1,0
37984000,0,1,0,0,1,1,1,1,1,1,1,1,0
38488000,1,1,0,0,1,1,1,1,1,1,1,1,0
38992000,1,1,0,0,1,1,1,1,1,1,1,1,0
39496000,1,1,0,0,1,1,1,1,1,1,1,1,0
40000000,1,1,0,0,1,1,1,1,1,1,1,1,0
40504000,1,1,0,0,1,1,1,1,1,1,1,1,0
41008000,1,1,0,0,1,1,1,1,1,1,1,1,0
41512000,1,1,0,0,1,1,1,1,1,1,1,1,0
42016000,1,1,0,0,1,1,1,1,1,1,1,1,0
42520000,1,1,0,0,1,1,1,1,1,1,1,1,0
43024000,1,1,0,0,1,1,1,1,1,1,1,1,0
43528000,1,1,0,0,1,1,1,1,1,1,1,1,0
44032000,1,1,0,0,1,1,1,1,1,1,1,1,0
44536000,1,1,0,0,1,1,1,1,1,1,1,1,0
45040000,1,1,0,0,1,1,1,1,1,1,1,1,0
45544000,1,1,0,0,1,1,1,1,1,1,1,1,0
46048000,1,1,0,0,1,1,1,1,1,1,1,1,0
