timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
17208000,17086000,17128000,0,0.0,0.00752684,1.0,1.0,-0.01548496,-0.018468278,1.1251656,1.1251814,8.524398e-06,1.2125237e-05,0,1,0,1
17608000,17490000,17528000,0,0.0,0.0,1.0,1.0,-0.010206328,-0.013927663,1.126819,1.1268348,3.6978122e-06,6.8858294e-06,0,1,0,1
17808000,17690000,17728000,0,0.0,0.0,1.0,1.0,-0.003350259,-0.0069565014,1.114596,1.1146035,4.0280912e-07,1.7366862e-06,0,1,0,1
18208000,18090000,18128000,0,0.0,0.0,1.0,1.0,-0.0016564755,0.0030179978,1.1176423,1.1176518,9.820355e-08,3.2598027e-07,0,1,0,1
18608000,18490000,18528000,0,0.0,-0.00752684,1.0,1.0,-0.0024253782,0.006066441,1.120312,1.1203232,2.1002933e-07,1.3139675e-06,0,1,0,1
19008000,18890000,18928000,0,0.0,0.0,1.0,1.0,0.0050173,-0.002502483,1.1225896,1.1226017,8.969725e-07,2.2313957e-07,0,1,0,1
19408000,19290000,19328000,0,0.0,0.00752684,1.0,1.0,0.0035959473,-0.010343819,1.1244905,1.124503,4.599714e-07,3.8059334e-06,0,1,0,1
19808000,19690000,19728000,0,0.0,0.0,1.0,1.0,0.010679072,-0.0020287388,1.1260476,1.1260599,4.051075e-06,1.4620116e-07,0,1,0,1
20008000,19890000,19928000,0,0.0,0.0,1.0,1.0,0.010733001,0.0005738734,1.1142857,1.1142926,4.1352882e-06,1.1822054e-08,0,1,0,1
20408000,20290000,20328000,0,0.0,0.0,1.0,1.0,0.009023307,0.0033891345,1.1171514,1.1171592,2.9152743e-06,4.1126575e-07,0,1,0,1
20608000,20490000,20528000,0,0.0,0.0,1.0,1.0,0.005678635,0.007202871,1.1078378,1.1078427,1.1643183e-06,1.873239e-06,0,1,0,1
21008000,20886000,20928000,0,0.0,0.0,1.0,1.0,0.0034770828,0.0043389197,1.1113775,1.1113836,4.3513947e-07,6.775779e-07,0,1,0,1
21208000,21090000,21128000,0,0.0,0.00752684,1.0,1.0,0.0043790783,-0.002384184,1.1034601,1.1034641,6.951344e-07,2.0605411e-07,0,1,0,1
21608000,21490000,21528000,0,0.0,0.00752684,1.0,1.0,0.0014912165,-0.0053879656,1.107432,1.1074371,8.032011e-08,1.0485534e-06,0,1,0,1
22008000,21890000,21928000,0,0.0,0.00752684,1.0,1.0,-0.00034463737,-0.007776179,1.1111329,1.1111388,4.2758135e-09,2.1768283e-06,0,1,0,1
22408000,22290000,22328000,0,0.0,0.0,1.0,1.0,0.0018315859,-0.0028244073,1.1144645,1.114471,1.2040606e-07,2.8631615e-07,0,1,0,1
22808000,22690000,22728000,0,0.0,0.00752684,1.0,1.0,-0.0066272994,-0.0196528,1.1173797,1.1173865,1.5722891e-06,1.3826284e-05,0,1,0,1
23208000,23086000,23128000,0,0.0,0.0,1.0,1.0,0.00030051562,-0.015511119,1.119871,1.1198777,3.2257157e-09,8.59361e-06,0,1,0,1
23408000,23290000,23328000,0,-0.011119492,0.0,1.0,1.0,0.012716255,-0.006705503,1.1098492,1.1098536,5.827932e-06,1.6205298e-06,0,1,0,1
23808000,23690000,23728000,0,0.0,0.0,1.0,1.0,0.0019353145,-0.0019208873,1.1131366,1.1131413,1.3459056e-07,1.3259081e-07,0,1,0,1
24208000,24090000,24128000,0,0.0,0.0,1.0,1.0,0.0074664783,-0.00027155638,1.1160476,1.1160522,1.9980616e-06,2.64299e-09,0,1,0,1
24608000,24486000,24528000,0,0.0,0.0,1.0,1.0,0.006328356,-0.009763062,1.118567,1.1185713,1.4321213e-06,3.4085401e-06,0,1,0,1
