timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
70240000,-0.0009463408,0,0,0,0,0,0,0,0,0
70744000,-0.00089511863,0,0,0,0,0,0,0,0,0
71248000,-0.00093344843,0,0,0,0,0,0,0,0,0
71752000,-0.0010721384,0,0,0,0,0,0,0,0,0
72256000,-0.0009871953,0,0,0,0,0,0,0,0,0
72760000,-0.0006441206,0,0,0,0,0,0,0,0,0
73264000,-0.00064281933,0,0,0,0,0,0,0,0,0
73768000,-0.00046557357,0,0,0,0,0,0,0,0,0
74272000,-0.00073537923,0,0,0,0,0,0,0,0,0
74776000,-0.0006206699,0,0,0,0,0,0,0,0,0
75280000,-0.00048908865,0,0,0,0,0,0,0,0,0
75784000,-0.0004973162,0,0,0,0,0,0,0,0,0
76288000,-0.00018631904,0,0,0,0,0,0,0,0,0
76792000,0.0002698394,0,0,0,0,0,0,0,0,0
77296000,0.00030716008,0,0,0,0,0,0,0,0,0
77800000,0.00025791366,0,0,0,0,0,0,0,0,0
78304000,0.0006657633,0,0,0,0,0,0,0,0,0
78808000,0.00032108443,0,0,0,0,0,0,0,0,0
79312000,-5.1231837e-05,0,0,0,0,0,0,0,0,0
79816000,-0.0002291058,0,0,0,0,0,0,0,0,0
80320000,-0.00048064117,0,0,0,0,0,0,0,0,0
80824000,-0.00013260858,0,0,0,0,0,0,0,0,0
81328000,-0.00034746717,0,0,0,0,0,0,0,0,0
81832000,-9.098131e-05,0,0,0,0,0,0,0,0,0
82336000,-0.00056357286,0,0,0,0,0,0,0,0,0
82840000,-0.0006020082,0,0,0,0,0,0,0,0,0
83344000,-0.000426039,0,0,0,0,0,0,0,0,0
83848000,-0.0003947449,0,0,0,0,0,0,0,0,0
84352000,-0.00040910102,0,0,0,0,0,0,0,0,0
84856000,-0.00056121254,0,0,0,0,0,0,0,0,0
85360000,-0.0005655633,0,0,0,0,0,0,0,0,0
85864000,-0.0006916571,0,0,0,0,0,0,0,0,0
86368000,-0.0006888041,0,0,0,0,0,0,0,0,0
86872000,-0.0007134413,0,0,0,0,0,0,0,0,0
87376000,-0.001037072,0,0,0,0,0,0,0,0,0
87880000,-0.0008355552,0,0,0,0,0,0,0,0,0
88384000,-0.00094346795,0,0,0,0,0,0,0,0,0
88888000,-0.00083053054,0,0,0,0,0,0,0,0,0
89392000,-0.00091197534,0,0,0,0,0,0,0,0,0
89896000,-0.0012258446,0,0,0,0,0,0,0,0,0
90400000,-0.0014267471,0,0,0,0,0,0,0,0,0
90904000,-0.001521862,0,0,0,0,0,0,0,0,0
91408000,-0.0018734195,0,0,0,0,0,0,0,0,0
91912000,-0.0017544182,0,0,0,0,0,0,0,0,0
92416000,-0.0015642717,0,0,0,0,0,0,0,0,0
92920000,-0.0013286805,0,0,0,0,0,0,0,0,0
93424000,-0.0015243242,0,0,0,0,0,0,0,0,0
93928000,-0.0015692944,0,0,0,0,0,0,0,0,0
94432000,-0.00188661,0,0,0,0,0,0,0,0,0
94936000,-0.0016341782,0,0,0,0,0,0,0,0,0
95440000,-0.0017954275,0,0,0,0,0,0,0,0,0
95944000,-0.0014960256,0,0,0,0,0,0,0,0,0
96448000,-0.001309755,0,0,0,0,0,0,0,0,0
96952000,-0.0012034992,0,0,0,0,0,0,0,0,0
97456000,-0.0011909064,0,0,0,0,0,0,0,0,0
97960000,-0.0012702239,0,0,0,0,0,0,0,0,0
98464000,-0.001098461,0,0,0,0,0,0,0,0,0
98968000,-0.0008538605,0,0,0,0,0,0,0,0,0
99220000,-0.0010383322,0,0,0,0,0,0,0,0,0
99232000,-0.0010383322,0,0,0,0,0,0,0,0,0
99736000,-0.047066733,0,0,0,0,0,0,0,0,0
100240000,-0.044135693,0,0,0,0,0,0,0,0,0
100744000,-0.040029924,0,0,0,0,0,0,0,0,0
101248000,-0.036367957,0,0,0,0,0,0,0,0,0
101752000,-0.03269889,0,0,0,0,0,0,0,0,0
102256000,-0.009683907,0,0,0,0,0,0,0,0,0
102760000,-0.13413727,0,0,0,0,0,0,0,0,0
103264000,-0.121191196,0,0,0,0,0,0,0,0,0
103768000,-0.10962897,0,0,0,0,0,0,0,0,0
104272000,-0.09939689,0,0,0,0,0,0,0,0,0
104776000,-0.08982798,0,0,0,0,0,0,0,0,0
105280000,-0.08138601,0,0,0,0,0,0,0,0,0
105784000,-0.07368641,0,0,0,0,0,0,0,0,0
105880000,-0.07228163,0,0,0,0,0,0,0,0,0
106384000,-0.06559576,0,0,0,0,0,0,0,0,0
