timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
19008000,18890000,0.00020550251,0.00014424251,0.002272112,1,0,0,0,0,0,0,0,0,0,0
19408000,19290000,0.00075539685,0.00016365123,0.002919873,1,0,0,0,0,0,0,0,0,0,0
19808000,19690000,0.00019522524,0.00024267513,0.0028030782,1,0,0,0,0,0,0,0,0,0,0
20008000,19890000,0.00019132072,0.00046103096,0.0026873832,1,0,0,0,0,0,0,0,0,0,0
20408000,20290000,0.00018366789,0.0009430781,0.0021070987,1,0,0,0,0,0,0,0,0,0,0
20608000,20490000,0.00017999455,0.00037583237,0.0020649566,1,0,0,0,0,0,0,0,0,0,0
21008000,20886000,0.00017286674,0.0004386111,0.0019831844,1,0,0,0,0,0,0,0,0,0,0
21208000,21090000,0.0007258742,0.00042966346,0.0019427274,1,0,0,0,0,0,0,0,0,0,0
21608000,21490000,0.0006968392,0.0013127455,0.0018650183,1,0,0,0,0,0,0,0,0,0,0
22008000,21890000,0.0006689656,0.00025925902,0.002187479,1,0,0,0,0,0,0,0,0,0,0
22408000,22290000,0.000192198,5.052438e-05,0.0016486021,1,0,0,0,0,0,0,0,0,0,0
22808000,22690000,0.0006458912,0.0004482837,0.0024643696,1,0,0,0,0,0,0,0,0,0,0
23208000,23086000,0.0001981529,0.00036902886,0.0021684573,1,0,0,0,0,0,0,0,0,0,0
23408000,23290000,0.0009920638,6.2428415e-05,0.0021799856,1,0,0,0,0,0,0,0,0,0,0
23808000,23690000,0.00021871473,0.000138433,0.0028360188,1,0,0,0,0,0,0,0,0,0,0
24208000,24090000,0.00020996612,0.00013289567,0.002861965,1,0,0,0,0,0,0,0,0,0,0
24608000,24486000,0.00020165148,0.00017143927,0.0030872088,1,0,0,0,0,0,0,0,0,0,0
24808000,24690000,0.0009668199,0.0007691382,0.0028536029,1,0,0,0,0,0,0,0,0,0,0
25208000,25086000,0.00022558526,0.0009370446,0.0024239528,1,0,0,0,0,0,0,0,0,0,0
25408000,25290000,0.00022098332,1.766032e-05,0.002374504,1,0,0,0,0,0,0,0,0,0,0
25808000,25690000,0.00021214399,8.375411e-05,0.0022795238,1,0,0,0,0,0,0,0,0,0,0
26208000,26090000,0.00020365822,0.0006215004,0.0021883429,1,0,0,0,0,0,0,0,0,0,0
26608000,26486000,0.00019559335,0.0003033796,0.0021016845,1,0,0,0,0,0,0,0,0,0,0
26808000,26690000,0.0006709101,0.00069697096,0.0019350767,1,0,0,0,0,0,0,0,0,0,0
27208000,27086000,0.00064434204,2.9481598e-05,0.0018584476,1,0,0,0,0,0,0,0,0,0,0
27408000,27290000,0.0002073803,0.0006300765,0.0014360527,1,0,0,0,0,0,0,0,0,0,0
27808000,27690000,0.00019908509,0.0011053617,0.001253976,1,0,0,0,0,0,0,0,0,0,0
28208000,28090000,0.00019112167,0.000840098,0.0013306247,1,0,0,0,0,0,0,0,0,0,0
28608000,28490000,0.00018347679,0.00039284682,0.0012773997,1,0,0,0,0,0,0,0,0,0,0
29008000,28890000,0.0006467113,0.00032171965,0.0012263036,1,0,0,0,0,0,0,0,0,0,0
