timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
21048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026793672,0.0020993922,1.5406168e-11,-0.16654067,0.15236717,-9.92205,-0.0012357067,-0.004836301,0.00068176916,0.00036928753,0.00045947422,0.00032769347,3.705084e-06,7.137819e-06,6.182705e-06,11.827328,11.827328
22048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02732128,0.0020450945,8.895564e-12,-0.17027563,0.14757878,-9.910462,-0.0009161274,-0.005113269,-0.0009587381,0.00036128156,0.00045183132,0.0003410101,1.3834963e-06,3.7826276e-06,3.1679508e-06,11.827328,11.827328
23048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027157769,0.0021258208,9.464708e-12,-0.14211981,0.14882375,-9.918986,-0.0014487597,-0.005390238,-0.0002556636,0.00031330306,0.00083292706,0.0004943687,2.0927391e-06,6.272543e-06,2.2960553e-06,11.827328,11.827328
24048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031110387,0.002166864,1.3453712e-11,-0.15198392,0.14642955,-9.925403,-0.000958738,-0.003749731,-0.00031957935,0.000503058,0.0014935634,0.000299029,3.995401e-06,4.52686e-06,6.0522048e-06,11.827328,11.827328
25048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027393136,0.0020488868,1.2625231e-11,-0.15342045,0.15428254,-9.899449,-0.001257012,-0.006412892,-0.0002769689,0.00031809893,0.0008617791,0.0004978763,2.9050584e-06,3.2738644e-06,2.8398078e-06,11.827328,11.827328
26048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027531832,0.002130631,1.23232145e-11,-0.16998832,0.16931812,-9.889681,-0.0010226539,-0.0052624065,-0.00036219,0.0002546053,0.0007468676,0.00056305627,2.6459481e-06,4.735851e-06,4.13063e-06,11.827328,11.827328
27048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028074414,0.0020366313,1.3066112e-11,-0.16433801,0.17305307,-9.889202,-0.001107875,-0.005795039,-0.0006391588,0.00035724987,0.00036472088,0.00044286932,1.5584427e-06,3.8138346e-06,4.160891e-06,11.827328,11.827328
28048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027648726,0.0022104632,1.277287e-11,-0.1610819,0.16347627,-9.880009,-0.0014913703,-0.004197142,0.00021305283,0.00018415655,0.0006914565,0.00042173915,4.0190425e-06,3.6483448e-06,2.3168595e-06,11.827328,11.827328
29048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027174475,0.002215533,1.1588534e-11,-0.16079459,0.17515998,-9.88633,-0.0014913703,-0.004111921,0.00025566338,0.00048182992,0.0006800684,0.00052904326,2.9551782e-06,2.3055115e-06,4.116445e-06,11.827328,11.827328
30048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027423972,0.0021831454,1.1572847e-11,-0.17209522,0.16213551,-9.886138,-0.001107875,-0.0051771854,0.000447411,0.00018406098,0.00081852026,0.0004146256,4.135358e-06,5.1188413e-06,2.8057643e-06,11.827328,11.827328
31048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026567725,0.0021819265,1.1965187e-11,-0.16749835,0.160699,-9.878572,-0.0013848438,-0.004644553,0.00014913695,0.00040626034,0.0006526685,0.00030976642,3.8771936e-06,4.7405783e-06,2.4000774e-06,11.827328,11.827328
32048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027080104,0.002132991,1.1024685e-11,-0.18052281,0.16146514,-9.878284,-0.0009161274,-0.005454154,0.00012783162,0.0006568149,0.00046721264,0.00011078178,2.3527946e-06,6.909916e-06,3.2691364e-06,11.827328,11.827328
33048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027142737,0.00221266,1.3078085e-11,-0.17841591,0.14949413,-9.885563,-0.001619202,-0.005241101,0.0005752427,0.00025275184,0.0006864694,0.00044494105,2.8719603e-06,5.1462657e-06,3.1897011e-06,11.827328,11.827328
34048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027941799,0.0022077651,1.0669805e-11,-0.18167202,0.14920683,-9.879722,-0.0013848437,-0.004495416,-0.0010652646,0.00033262058,0.0006194217,0.00051165663,3.3570823e-06,2.1059782e-06,2.4350668e-06,11.827328,11.827328
35048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025455311,0.0021910486,1.2550464e-11,-0.18722658,0.16108207,-9.880392,-0.00085221155,-0.0051345746,0.00027696867,0.00022116744,0.0006518087,0.00027323113,2.4114252e-06,6.9241005e-06,3.1471463e-06,11.827328,11.827328
36048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027064182,0.002009627,1.0842389e-11,-0.18195933,0.15217564,-9.883361,-0.001470065,-0.0045167212,0.00029827392,0.00041892845,0.00045479287,0.0005017998,3.860172e-06,2.177848e-06,2.5078823e-06,11.827328,11.827328
37048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028116086,0.00205707,8.443811e-12,-0.18387468,0.16232705,-9.874742,-0.0010865697,-0.004495416,4.2610507e-05,0.00094199175,0.0009988361,0.00043473401,2.3991317e-06,3.595388e-06,1.2038214e-06,11.827328,11.827328
38048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.029840082,0.0021621198,1.4339012e-11,-0.17554286,0.16567893,-9.856258,-0.0006391587,-0.00515588,0.00019174752,0.00047802748,0.0011813114,0.00040819097,5.224755e-06,4.4852513e-06,2.9523412e-06,11.827328,11.827328
